ID;web-scraper-order;web-scraper-start-url;Expert;Expert-href;Title;Subtitle;Description;Image-src
11;1700469513-11;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/sien-jans/;Sien Jans;;Sien Jans is a great expert to provide a second opinion because of her unique combination of creativity and technical skills. As a graphic designer, she has a deep understanding of visual communication and a keen eye for aesthetics. She uses these talents to craft compelling logos, design captivating marketing materials, and develop stunning illustrations that deliver impactful designs.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-sien-jans.jpg
12;1700469516-12;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/sandra-vandorpe/;Sandra Vandorpe;Xpert in Human Resources;Sandra Vandorpe is an expert in Human Resources Management with over 20 years of experience in both national and international environments and within the private and public sectors. She has worked for Arthur Andersen, Deloitte, Belgacom/Proximus, Belgocontrol/Skeyes, Accenture (projects for several large accounts), Engie and has a financial background with 10 years of auditing experience. She is passionate about helping companies become better places to work for their people and succeed for their customers and all stakeholders. Her expertise lies in developing Business and Workforce strategies that support business objectives and designing organizations and project portfolios to implement these strategies. Her experience domains include Talent Management, Leadership Alignment and Development, General HR Management, Employee Engagement, Corporate Culture Change, Employer Branding, HR information Systems & Reporting, as well as Business and Digital transformation.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-sandra-vandorpe.jpg
13;1700469519-13;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/sam-bruynseels/;Sam Bruynseels;;Sam Bruynseels is an expert in his field with years of experience and a proven track record. He has worked with some of the biggest names in the industry and has a wealth of knowledge that he can draw upon to provide a second opinion. Sam’s expertise is not just limited to his former employers, but extends to all areas of his field. He is passionate about what he does and is always looking for ways to improve and innovate. Sam’s ability to think outside the box and come up with creative solutions is what sets him apart from others in his field. If you’re looking for someone who can provide a fresh perspective and valuable insights, then Sam Bruynseels is the expert you need.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-sam-bruynseels.jpg
14;1700469522-14;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/sabine-fannes/;Sabine Fannes;;Sabine Fannes is a senior HR architect and certified coach with an eye and a heart for people. She is the founder of BeyondYou . Sabine has worked in former executive HR positions at RealDolmen, Clear2Pay, Logica, etc. She has a lot of experience in working like an architect in HR where she analyzes needs, creates plans, determines priorities and work points together with the team, and guides the project until delivery. Sabine is an expert in HR project management and personal/team development. Based on her experience and expertise, Sabine Fannes would be a great expert to provide a second opinion on your HR project .;https://xpertopinion.be/wp-content/uploads/2023/03/sabine-fannes.jpg
15;1700469525-15;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/rudy-moenaert/;Rudy Moenaert;Professor Strategic Marketing , strategic advisor;Rudy Moenaert is a renowned expert in marketing strategy, business roadmapping and innovation management. He has more than 30 years of experience as a professor, consultant and researcher in these fields. He is the academic director of the Executive Master of Marketing & Customer Management programme at TIAS School for Business & Society, one of the leading business schools in Europe. He has advised many prominent companies such as Fujifilm, Shimano and Barco on how to create and implement visionary marketing strategies.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-rudy-moenaert-1.jpg
16;1700469528-16;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/ronald-van-den-berg/;Ronald van den Berg;Xpert Purchasing  ,M&A;Ronald van den Berg is a Senior Professional with profound experience in developing and managing teams and leading special business projects for Purchasing and Manufacturing Operations. He has expertise in Purchasing Management for 19 years and has covered all Indirect categories + some Direct.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-Ronald-van-den-Berg.jpg
17;1700469532-17;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/remy-knecht/;Remy Knecht;;Remy Knecht is a Chief Security Officer at itsmeDigitalID. He has a special interest in Digital Identity, Cyber Security and Digital Transformation. He is also an expert in Digital ID World Economic Forum2. He has been a partner at Flying Forward 2020 and a director at Digie2. He has been recognized as an industry expert by FATF and Cyber Sec Expert EU CyberNet. He is also a member of GIAC Advisory Board - GSEC;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-remy-knecht.jpg
18;1700469535-18;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/pieter-meijlaers/;Pieter Meijlaers;Xpert in Product & Service Innovation;Pieter Meijlaers is a great expert to provide a second opinion because he is a technology adept and evangelist, product developer and service/experience improver, and creative out-of-the-box thinker1. His personal motto “Creating Mondriaan out of Kandinsky” shows that he always challenges himself to find a straightforward solution in difficult situations.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-pieter-meijlaers.jpg
19;1700469539-19;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/olivier-smekens/;Olivier Smekens;Xpert in product management / problem solver;Olivier Smekens is a great expert to provide a second opinion because he is an experienced and passionate leader/problem solver with a competitive drive to achieve. He has combined international corporate and digital transformation challenges with true entrepreneurship, which makes him an expert in his field. He is also the CEO of Soluz.io, a company that specializes in digitalization.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-olivier-smekens.jpg
20;1700469542-20;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/nathalie-delaere/;Nathalie Delaere;;"Nathalie Delaere, a seasoned professional with 26 years of experience in the financial sector and a recently earned Master of

Arts in Gender and Diversity. Nathalie offers a truly unique combination of experience as a senior executive manager and

expertise in diversity and inclusion.

With a background in law, Nathalie has honed her expertise in the field, having spent 9 years as an attorney and 17 years as general

counsel and tax director of a prominent Belgian financial institution.

Having recently graduated magna cum laude with a Master's thesis on gender equality in the Belgian financial sector, Nathalie has a clear

vision on the subject. With this extensive research, she has a unique and valuable perspective on the professional challenges faced by

women, the steps that can be taken to overcome them and how to increase substantive gender equality in organizations.";https://xpertopinion.be/wp-content/uploads/2023/05/xpert-nathalie-delaere-1.jpg
21;1700469546-21;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/michel-de-coster/;Michel De Coster;;Michel De Coster is a seasoned executive, executive coach, and board member with extensive experience working in the Information and Communications Industry. With a Master's degree in Political and Social Sciences from VUB.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-michel2-1024x831.jpg
22;1700469550-22;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/2734/;Mic Adam;Social Media Xpert;Mic Adam is a great expert to provide a second opinion on your social media strategy and execution. He has more than 40 years of experience in international B2B and B2C sales, marketing and general management. He is a certified LinkedIn trainer and ambassador, who can help you optimize your LinkedIn profile, strengthen your personal and business brand, and generate more leads and revenue. He can also teach you how to use other social media platforms such as Facebook, Twitter, TikTok, and more. He is the founder of Vanguard Leadership, a social media consulting enterprise that offers coaching, consultancy, and content creation services.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-mic-adam-1.jpg
23;1700469553-23;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/marc-bervoets/;Marc Bervoets;;Marc Bervoets is an expert in cross-industry negotiations and has been working as a lead business negotiator for large complex arrangements or challenges with existing contracts. He has experience in complex technology delivery roles, diamond client account leadership roles as well as regional DOO roles. With his vast experience and expertise in the field of cross-industry negotiations, he can provide a second opinion that can be trusted and relied upon. His ability to handle complex arrangements and challenges with existing contracts makes him an ideal candidate for providing a second opinion. Marc Bervoets is a great expert who can provide valuable insights and advice that can help you make informed decisions.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-marc-bervoets.jpg
24;1700469556-24;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/maarten-verschuere/;Maarten Verschuere;Xpertt in AI and emerging technologies;Maarten Verschuere is an emerging technology leader and speaker who inspires and enables corporates to surf on new waves of technological enhancement. He has worked as an analytical consultant in retail and FMCG for clients including Tesco and P&G while living in London, Paris and Cincinnati. In 2016, he founded Clever, an AI-driven platform for conversational search which was sold to Zoovu Ltd. in 2019. With his mission to create a better tomorrow by helping companies transform enabled by AI and Web3 technologies, Maarten Verschuere is a great expert to provide a second opinion on how companies can leverage these technologies to transform their businesses. His experience in the industry and his passion for emerging technologies make him an ideal candidate for providing insights into how companies can use AI and Web3 technologies to create a better future.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-maarten-verschuere.jpg
25;1700469560-25;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/laurence-vanhoenacker/;Laurence Vanhoenacker;;Laurence beschikt over een stevige expertise in strategisch management en is gekend voor haar enthousiaste, resultaatgerichte en no-nonsens aanpak.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-laurence-vanhoenacker.jpg
26;1700469563-26;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/kristien-manteleers/;Kristien Manteleers;Xpert Leadership Development;Kristien Manteleers is a management consultant with over 20 years of experience as a consultant and as an internal manager/consultant. She started up C the C after her experience and appeals to her network of independent consultants to meet all customer’s requirements. Her style is no-nonsense and her strength is that she dares to ask the question. She is a great expert to provide a second opinion because of her extensive experience in leadership, change, and reskilling.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-kristien-mangeleers.jpg
27;1700469567-27;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/kris-vandenberk/;Kris Vandenberk;Xpert on corporate structuring;Kris Vandenberk is a great expert to provide a second opinion because he has over 20 years of international experience in venture capital, management consulting, corporate development, finance and innovation delivery. He is currently a Director at Agio Capital leading cross-border transactions (fundraising, M&A) in the Technology industry. His investment and board experience include i.a. CoScale (acquired by New Relic), CHILI Publish, InvestSuite, Ontoforce, PieSync (acquired by HubSpot), Porphyrio (acquired by Evonik), ScriptBook, Teamleader (acquired by Visma), THEO Technologies, Viloc, and Waylay.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-kris-vandenberk.jpg
28;1700469570-28;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/koert-van-espen/;Koert Van Espen;Xpert architecture and privacy;Koert Van Espen has over 30 years of experience in consulting in information security, digital transformation, and privacy. He is managing partner of Apogado, and previously was cabinet member of the Secretary of State for Privacy. Koert had various senior positions in IBM, Philips and several consulting companies. He is also an entrepreneur and investor in innovative technologies such as semantic technology, AI, and even innovative music instruments.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-koert-van-espen.jpg
29;1700469573-29;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/joost-rommelaere/;Joost Rommelaere;CISO & Security and Digital Transformation Xpert;Joost Rommelaere is a seasoned expert to give a second opinion on cyber security and digital transformation. He has more than 20 years of experience in various sectors, including the maritime industry, the chemical industry and consultancy. He has proven results by building customer-focused teams and managing changes carefully. He is pragmatic, innovative and passionate about his field. He can help you align your cyber security strategy with your business objectives and risks. If you are looking for a reliable and knowledgeable partner to support your digital transformation, then Joost Rommelaere is the right person for you.;https://xpertopinion.be/wp-content/uploads/2023/02/83CF6A97-D568-4EE5-A325-6B6667CC308F.jpeg
30;1700469577-30;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/jean-pierre-filippini/;Jean-Pierre Filippini;;"Jean-Pierre Filippini is a true embodiment of an innovative and people-centric leader. His sterling record showcases a profound understanding of commercial strategies and a commitment to producing results. His passion for integral leadership extends beyond merely setting goals; he creates a conducive environment that allows individual talents to flourish. He treats every challenge as an opportunity for innovation, bringing forth fresh and unconventional perspectives. But perhaps his greatest strength is in coaching. He is not just a guide; he is a mentor, providing a second opinion that is steeped in years of experience and wisdom. His hands-on approach to nurturing growth, development and success is truly inspiring. Filippini's style of leadership is unique and impactful. When he gives a second opinion, you know it's backed by a rich reservoir of knowledge and insight.";https://xpertopinion.be/wp-content/uploads/2023/05/xpert-jean-pierre-filippini.jpg
31;1700469580-31;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/jan-paesen/;Jan Paesen;;Jan Paesen is a great expert to provide a second opinion because of his 25+ years professional experience in a wide variety of industries such as Banking, Manufacturing, Consultancy Services, and Telecom. He has worked in different domains such as Finance, IT, Product Management, Solution Sales, and Marketing. He has also worked in companies of different sizes ranging from startups to big corporate organizations. Jan Paesen has held different roles in his career ranging from Analyst to VP/Director Exco -1 in a ‘Bel20’ listed company.;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-jan-paesen.jpg
32;1700469583-32;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/jan-joos/;Jan Joos;;Jan Joos is a seasoned executive leader up to the level of vice-president and CIO on strategic/tactical levels. He has an extra eye on internal processes thanks to process re-engineering, IT alignment as well as procurement efficiency incl. long-tail analysis. He keeps in mind external benchmarking guidelines where appropriate.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-jan-joos.jpg
33;1700469586-33;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/jan-colpaert/;Jan Colpaert;;Jan Colpaert's vast experience and skill set make him the ideal expert for a second opinion. As a marketing and retail director, he boasts a proven track record in fast-moving consumer goods and fashion/apparel industries. His expertise in brand strategy, data-driven marketing, and retail marketing showcases his mastery of the field.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-jan-colpaert.jpg
34;1700469590-34;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/jackie-janssen/;Jackie Janssen;;Jackie Janssen is a great expert to provide a second opinion because of his passion for helping individuals and teams in their development. He combines fun, improvement and inspiration to achieve results and has a personal passion for blending his outside interests into his career. He is a public speaker and entertrainer who loves to twist the minds of his audience. His specialisms include ICT development , Data Management, hands-on use of AI;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-jackie-janssen.jpg
35;1700469593-35;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/isabel-de-clerck/;Isabel De Clerck;;Isabel de Clercq is een geweldige expert om een tweede mening te geven over verschillende onderwerpen die te maken hebben met werk, welzijn en innovatie. Ze heeft meer dan 25 jaar ervaring als sales manager, change manager en content marketeer oa bij Wolters Kluwer België1. Ze is ook de auteur van verschillende boeken: Sproet, Gekruld en Het hybride werken. Ze is een veelgevraagd spreker over topics als kennisdeling, asynchrone samenwerking en het Hybride Werken1. Ze combineert een verfrissende visie met praktische oplossingen en een aanstekelijke enthousiasme. Ze weet hoe ze mensen kan inspireren en motiveren om anders te werken en te leren. Ze is niet bang om clichés onderuit te halen en een stevige ‘kick in the ass’ te geven1. Isabel de Clercq is de ideale persoon om u te helpen uw organisatie naar een hoger niveau te tillen;https://xpertopinion.be/wp-content/uploads/2023/02/DED86A73-418D-4981-9EA3-FAE87A801B29.jpeg
36;1700469596-36;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/inge-van-dijck/;Inge Vandijck;Security & Sustainability Xpert;Inge Vandijck is a sustainability advisor who can help you achieve your triple bottom line of people, planet and profit. She has over 20 years of experience in risk management, corporate social responsibility and environmental management.;https://xpertopinion.be/wp-content/uploads/2023/02/FB96EDA7-CD1A-460A-9002-DD47DA6A73A9.jpeg
37;1700469599-37;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/inge-van-belle/;Inge Van Belle;;Inge Van Belle, with her unique blend of 12+ years in start-ups/scale-ups and 10+ years of corporate experience in business consulting, PR, B2B sales, and marketing, primarily in ICT, is an expert in employee engagement and corporate culture. As a former Director of Communications, she applied her skills during the merger of Telindus and Proximus, further cementing her expertise. Having led employee experience projects in 10 countries, she has validated theoretical knowledge with practical experience, specializing in the 12 drivers of employee engagement and organisational culture.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-inge-van-belle-1024x922.jpg
38;1700469604-38;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/ines-herbosch/;Inès Herbosch;;Inès Herbosch is a Chief Data Officer (CDO) at FOD Justitie/SPF Justice and has been nominated for CDO of the Year 2022. She has a business background and is an expert in data strategy, data governance & management, digital transformation, business strategy and marketing automation. She has worked in various industries such as non-profit, pharmacy, telco, IT and FMCG. Her approach is long-term but pragmatic, hands-on, creative strategic thinking, helicopter view and co-creation. She works in agile mode with Scrum and Sociocracy 3.0 methodology.;https://xpertopinion.be/wp-content/uploads/2023/05/IMG_3282-994x1024.jpeg
39;1700469607-39;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/ine-meeussen/;Ine Meeussen;Xpert Finance;Ine Meeussen is a great expert to provide a second opinion on CFO interim and finance outsourcing because she is the founder of UFINITY which provides financial staffing, interim-management, CFO-as-a-service and Anaplan services. She has experience in providing top-tier finance, business, accounting and operational guidance for businesses.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-ine-meussen.jpg
40;1700469610-40;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/ilse-vandevyvere/;Ilse Vandevyvere;Sales and Market Professional;Ilse Vandevyvere is an expert in commercial engineering with a fast-growing track record in marketing, sales & commercial functions. She is passionate about Agile & Emotional Intelligence and loves taking on new business or people challenges. Her customers and team members are what get her happily out of bed in the morning. Her passion for her work is contagious and inspiring. She has a unique ability to see things from different perspectives and provide valuable insights that can help businesses grow and succeed. Her expertise in commercial engineering combined with her passion for Agile & Emotional Intelligence makes her an excellent choice for providing a second opinion. She has a proven track record of success and has helped many businesses achieve their goals.;
41;1700469634-41;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/herman-maes/;Horst Remes;;Horst Remes is a Customer Strategy Expert. He is passionate about helping other leaders make the transition to a customer-centric and operationally efficient organization. Horst Remes believes that nothing is easier to sell than a product or service from a customer-centric company. He has made it his mission to get management teams to create a distinctive and concrete strategy, and arm them against the ever so tempting management bullshit. He goes looking for the arguments behind the opinions. That’s how everyone gets aligned. He has extensive experience in customer-oriented organizations and has expertise in customer-centric processes, customer satisfaction, and customer experience.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-horst-remesw.jpg
42;1700469638-42;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/haroen-vermylen/;Haroen Vermylen;;Haroen Vermylen is a great expert to provide a second opinion because of his passion for technology and data, his love for building and teaching, and his experience as the Founder and CTO of Cumul.io. He has skills in data engineering and architecture, data science (predictive modelling, marketing customer intelligence, etc.), analytics with Weka, SSAS, MATLAB, KNIME, etc., data visualization with Cumul.io, d3.js, Tableau, etc., in-depth knowledge of traditional BI platforms including Microsoft BI, SAS, database technology including SQL Server, MySQL, PostgreSQL, Cassandra, etc., and application development in Node.js, Java, etc..;https://xpertopinion.be/wp-content/uploads/2023/04/xpert-haroen-vermylen.jpg
43;1700469642-43;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/hans-smellinckx/;Hans Smellinckx;Sales and Marketing Alignment Xpert;Hans Smellinckx is a great expert to provide a second opinion because he has a wealth of experience and knowledge in various fields and industries. He is not only a strategist, but also a change agent, a people manager, an entrepreneur, a marketing and sales leader, a keynote speaker, and a writer. He has worked with big names such as Thomas Cook, Coca-Cola, Ikea, and many others, and has transformed businesses digitally and internally. He has also mentored start-ups and scale-ups through The Birdhouse program, helping them grow from within. He has a global perspective and a passion for innovation and excellence. Hans Smellinckx is the ideal person to give you a fresh and insightful perspective on your business  sales challenges and opportunities.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-hans-smellinckx.jpg
44;1700469645-44;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/guy-de-poortere/;Guy De Poortere;Xpert in Procurement and facility Services;Guy De Poortere is a great expert to provide a second opinion based on his experience in Operations, Procurement, Supply chain and Finance. He has more than 20 years of experience within global companies and multicultural teams by working and living abroad. He is a driver of change and process improvements, being progressive & analytical. He inspires, motivates and develops organizations through people empowerment and innovation. He has strong communication skills and solid financial experience and compliance management. He always looks to create value for the customer and to increase shareholders’ value. He has worked as VP Purchasing at Proximus, Domo Chemicals, Alcoa1.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-guy-depoortere.jpg
45;1700469649-45;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/grim-sekeris/;Grim Sekeris;;"Grim Sekeris is the Shared Services Manager Process Assurance; Continuous Improvement at Indaver and visiting professor at KULeuven.

At Indaver, Grim works intensively and pro-actively at two of the building blocks that make their company to what they have become today and to what they will grow further: Assuring process

performance and continuously improving processes. Grim has a wide experienced in improvements (Certified Black Belt), managing innovative projects, implementing changes,

implementing and improving performance of Management Systems (e.g. ISO) , this all gathered organization-wide, with focus on 3 major elements: EBITDA increase, efficiency increase and

compliance.";https://xpertopinion.be/wp-content/uploads/2023/05/xpert-Grim-Sekeris.jpg
46;1700469653-46;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/griet-de-bevere/;Griet De Bevere;;"""The common thread throughout my activities is building a sustainable well-being policy. With a focus on the interaction between physical and mental health, combined with the acquisition of the right skills, I am an expert in my domain. My passion is to empower organizations, teams, and individuals, helping them to become resilient and harness their strengths. As an expert in business-related matters, Griet is the perfect person to provide a second opinion and help guide decisions towards success.""";https://xpertopinion.be/wp-content/uploads/2023/05/xpert-griet-de-bevere.jpg
47;1700469656-47;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/gino-geysermans/;Gino Geysermans;;Gino Geysermans is a sales expert with over 20 years of experience in different sales and management roles. He has led both sales and pre-sales teams primarily in Large Enterprise. Experience matter expert in integrating sales teams post acquisition,steering teams through times of change and sales enablement. He is human-oriented and contagious in his enthusiasm. He tends to bring out the best in people and make teams perform above expectation. He believes in strengthening the stronger skills than focus on the less developed ones.;https://xpertopinion.be/wp-content/uploads/2023/05/xpert-gino-geysermans.jpg
48;1700469659-48;https://xpertopinion.be/experts/;;https://xpertopinion.be/directory/geert-vanoverschelde/;Geert Vanoverschelde;Xpert in Event Marketing and video&TV production;Geert Vanoverschelde is an expert in events and live communication. He has a wealth of experience in corporate and B2B events, product launches, staff events, congresses and seminars, public events, hospitalities and offsite meetings. He is also an expert in linear and non-linear TV productions including fiction, reality and documentary programs. His expertise in video productions includes corporate films, commercials, social and online video, recruitment video, virals, after movies, branded content & video marketing. Geert Vanoverschelde is a great expert to provide a second opinion because of his vast experience in the field of events and live communication. He has worked on numerous projects and has a deep understanding of the industry. His expertise in linear and non-linear TV productions as well as video productions makes him a valuable asset to any team. Geert Vanoverschelde’s experience and knowledge make him an excellent choice for anyone looking for a second opinion in these areas.;https://xpertopinion.be/wp-content/uploads/2023/03/xpert-geert-vanoverschelde.jpg
